finished,q5,q8,q10,athlete,treatment,response,response_treated,response_overall
True,Yes,No difference,NA,1,0,0,NA,0
True,Yes,NA,Much Harder,1,1,NA,2,2
True,N/A,NA,Slightly Harder,NA,1,NA,1,1
True,No,No difference,NA,0,0,0,NA,0
True,Yes,NA,No difference,1,1,NA,0,0
True,Yes,NA,No difference,1,1,NA,0,0
True,N/A,Slightly Easier,NA,NA,0,-1,NA,-1
True,N/A,NA,Slightly Easier,NA,1,NA,-1,-1
True,N/A,NA,Much Harder,NA,1,NA,2,2
True,No,No difference,NA,0,0,0,NA,0
True,No,NA,Much Harder,0,1,NA,2,2
True,N/A,NA,No difference,NA,1,NA,0,0
True,N/A,NA,Slightly Harder,NA,1,NA,1,1
True,N/A,NA,Slightly Easier,NA,1,NA,-1,-1
True,No,Slightly Harder,NA,0,0,1,NA,1
True,N/A,NA,Much Harder,NA,1,NA,2,2
True,N/A,NA,Slightly Harder,NA,1,NA,1,1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,Yes,NA,No difference,1,1,NA,0,0
True,N/A,Slightly Easier,NA,NA,0,-1,NA,-1
True,N/A,Slightly Easier,NA,NA,0,-1,NA,-1
True,Yes,No difference,NA,1,0,0,NA,0
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,No difference,NA,0,0,0,NA,0
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,Yes,Slightly Easier,NA,1,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,Yes,NA,Slightly Easier,1,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,No difference,0,1,NA,0,0
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,Yes,NA,Much Easier,1,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,Yes,NA,No difference,1,1,NA,0,0
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,Yes,NA,No difference,1,1,NA,0,0
True,Yes,Slightly Easier,NA,1,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,No difference,NA,0,0,0,NA,0
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Much Harder,0,1,NA,2,2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Harder,NA,0,0,1,NA,1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,Yes,Much Easier,NA,1,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,Yes,NA,Slightly Easier,1,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,Yes,Slightly Harder,NA,1,0,1,NA,1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,Yes,NA,No difference,1,1,NA,0,0
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,No difference,NA,0,0,0,NA,0
True,No,NA,Much Easier,0,1,NA,-2,-2
True,Yes,Slightly Easier,NA,1,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,No difference,NA,0,0,0,NA,0
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,Yes,NA,No difference,1,1,NA,0,0
True,No,NA,No difference,0,1,NA,0,0
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,No difference,0,1,NA,0,0
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,Yes,Slightly Easier,NA,1,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,No difference,NA,0,0,0,NA,0
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,No difference,NA,0,0,0,NA,0
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,Slightly Easier,NA,0,0,-1,NA,-1
True,Yes,NA,Slightly Easier,1,1,NA,-1,-1
True,No,No difference,NA,0,0,0,NA,0
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,Much Easier,NA,0,0,-2,NA,-2
True,No,NA,Much Easier,0,1,NA,-2,-2
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
True,No,NA,Slightly Easier,0,1,NA,-1,-1
